auto_id,quoteid,created_at,stage
748,2347675,2024-11-27 22:36:44,Created
750,2347677,2024-11-28 00:55:44,Created
752,2347679,2024-11-28 14:42:44,Created
755,2347681,2024-11-26 23:13:20,Created
756,2347682,2024-11-27 18:27:06,Created
757,2347683,2024-11-28 18:28:39,Created
762,2347686,2024-11-25 14:54:09,Created
763,2347686,2024-11-28 20:11:19,Accepted - Groups
771,2347688,2024-11-28 22:36:49,Created
773,2347690,2024-11-11 22:55:29,Created
774,2347691,2024-11-11 22:55:29,Created
775,2347692,2024-11-29 15:09:31,Created
776,2347693,2024-11-25 21:59:54,Created
777,2347693,2024-11-28 21:42:55,Accepted - Groups
779,2347694,2024-11-27 22:36:44,Created
780,2347695,2024-11-28 00:55:44,Created
782,2347697,2024-11-29 19:32:35,Created
787,2347702,2024-11-29 21:46:51,Created
788,2347703,2024-11-29 22:40:19,Created
789,2347704,2024-11-29 21:46:51,Created
793,2347707,2024-11-30 15:25:53,Created
794,2347708,2024-11-21 18:50:30,Created
797,2347709,2024-11-28 20:38:43,Created
808,2347713,2024-10-26 19:38:58,Create Project
809,2347713,2024-11-25 16:12:07,Created
851,2347715,2024-12-02 17:11:47,New Quote with Stage Created
852,2347715,2024-12-02 17:14:21,Add Product: Brisbane Airport to Gold Coast enrout
853,2347715,2024-12-02 17:14:21,Add Product: Lunch @ Taj Palace
854,2347715,2024-12-02 17:14:21,Add Product: Dinner @ Tandoori Place Gold Coast
855,2347715,2024-12-02 17:14:21,Add Product: Novotel Surfers Paradise with Breakfa
856,2347715,2024-12-02 17:21:05,Add Product: Return transfer to Sea World
857,2347715,2024-12-02 17:21:05,Add Product: Best Of Both Worlds (Movie World + Se
858,2347715,2024-12-02 17:21:05,Add Product: Novotel Surfers Paradise with Breakfa
859,2347715,2024-12-02 17:21:39,Delete Product: Lunch @ Taj Palace
860,2347715,2024-12-02 17:23:12,Add Product: Indian Dinner @Delhi Darbar Surfers P
861,2347715,2024-12-02 17:26:25,Add Product: Return transfer to Movie World
862,2347715,2024-12-02 17:26:25,Add Product: Dinner @ Sankalp Gold Coast
863,2347715,2024-12-02 17:26:25,Add Product: Novotel Surfers Paradise with Breakfa
864,2347715,2024-12-02 17:28:35,Add Product: Departure Transfer - Gold Coast Hotel
865,2347715,2024-12-02 17:32:26,Add Product: 2 Transfers - Transfer from Sydney Ai
866,2347715,2024-12-02 17:32:26,Add Product: SHOWBOAT DINNER CRUISE WITH INDIAN SE
867,2347715,2024-12-02 17:32:26,Add Product: Sydney Central Hotel by Ascott with B
868,2347715,2024-12-02 17:38:30,Add Product: 10 Hours Coach - Arrival Transfer + 4
869,2347715,2024-12-02 17:38:30,Add Product: Cluster 4: 4 Attraction Pass (Only Ti
870,2347715,2024-12-02 17:38:30,Add Product: Sydney 03 Hours Orientation City Tour
871,2347715,2024-12-02 17:38:30,Add Product: Sydney Central Hotel by Ascott with B
872,2347715,2024-12-02 17:39:56,Add Product: Dinner @ Masala Kitchen
873,2347715,2024-12-02 17:41:30,Add Product: Departure Transfer - CBD Hotel to Syn
874,2347715,2024-12-02 17:45:19,Add Product: Arrive Melbourne (Tullamarine) Airpor
875,2347715,2024-12-02 17:45:19,Add Product: Chilli India Restaurant - Dinner
876,2347715,2024-12-02 17:45:19,Add Product: Mercure Melbourne Southbank
877,2347715,2024-12-02 18:02:07,Add Product: 12 Hours Coach - Full Day Great Ocean
878,2347715,2024-12-02 18:02:07,Add Product: Dinner @ Flora Melbourne
879,2347715,2024-12-02 18:02:07,Add Product: Mercure Melbourne Southbank
880,2347715,2024-12-02 18:06:18,Add Product: 10 Hours Coach - Local Sightseeing 
