quoteid,quote_no,no_pax,adults,children,infants,calculated_pax
2070771,TDU21113G,0,1,0,0,1
2075472,TDU21145G,0,1,0,0,1
2075951,TDU21148G,0,1,0,0,1
2076306,TDU21151G,0,1,0,0,1
2078954,TDU21186G,0,1,0,0,1
2079298,TDU21188G,0,1,0,0,1
2079304,TDU21189G,0,1,0,0,1
2079898,TDU21194G,0,1,0,0,1
2079930,TDU21195G,0,1,0,0,1
2080922,TDU21206G,0,1,0,0,1
2081037,TDU21209G,0,32,0,0,32
2081054,TDU21210G,0,1,0,0,1
2082425,TDU21220G,0,1,0,0,1
2082928,TDU21233G,0,1,0,0,1
2084007,TDU21250G,0,1,0,0,1
2085301,TDU21262G,0,1,0,0,1
2087578,TDU21285G,0,1,0,0,1
2087702,TDU21287G,0,1,0,0,1
2088339,TDU21295G,0,1,0,0,1
2089812,TDU21312G,0,1,0,0,1
2090512,TDU21318G,0,1,0,0,1
2091149,TDU21323G,0,1,0,0,1
2091335,TDU21326G,0,1,0,0,1
2092312,TDU21336G,0,1,0,0,1
2093901,TDU21345G,0,1,0,0,1
2095136,TDU21357G,0,1,0,0,1
2095759,TDU21366G,0,1,0,0,1
2097372,TDU21388G,0,1,0,0,1
2101353,TDU21431G,0,1,0,0,1
2102380,TDU21439G,0,1,0,0,1
2102653,TDU21441G,0,1,0,0,1
2102714,TDU21442G,0,1,0,0,1
2102719,TDU21443G,0,1,0,0,1
2103498,TDU21450G,0,1,0,0,1
2104879,TDU21466G,0,1,0,0,1
2107491,TDU21486G,0,1,0,0,1
2107588,TDU21490G,0,1,0,0,1
2108510,TDU21496G,0,1,0,0,1
2108557,TDU21498G,0,1,0,0,1
2108974,TDU21504G,0,1,0,0,1
2110442,TDU21510G,0,1,0,0,1
2113585,TDU21543G,0,1,0,0,1
2118532,TDU21588G,0,1,0,0,1
2119812,TDU21593G,0,1,0,0,1
2120471,TDU21599G,0,1,0,0,1
2120781,TDU21602G,0,1,0,0,1
2121572,TDU21604G,0,1,0,0,1
2122546,TDU21618G,0,1,0,0,1
2123612,TDU21624G,0,1,0,0,1
2123987,TDU21629G,0,1,0,0,1
2124311,TDU21630G,0,1,0,0,1
2125753,TDU21645G,0,1,0,0,1
2127360,TDU21667G,0,1,0,0,1
2127834,TDU21677G,0,1,0,0,1
2128023,TDU21683G,0,1,0,0,1
2128069,TDU21685G,0,1,0,0,1
2129614,TDU21693G,0,1,0,0,1
2130529,TDU21704G,0,1,0,0,1
2130703,TDU21707G,0,1,0,0,1
2133706,TDU21725G,0,1,0,0,1
2134517,TDU21734G,0,1,0,0,1
2135050,TDU21746G,0,1,0,0,1
2136461,TDU21750G,0,1,0,0,1
2136969,TDU21758G,0,1,0,0,1
2139087,TDU21775G,0,1,0,0,1
2139554,TDU21780G,0,1,0,0,1
2139923,TDU21788G,0,1,0,0,1
2140149,TDU21790G,0,1,0,0,1
2141745,TDU21801G,0,1,0,0,1
2142215,TDU21813G,0,1,0,0,1
2142256,TDU21814G,0,1,0,0,1
2142278,TDU21815G,0,1,0,0,1
2144865,TDU21836G,0,1,0,0,1
2145052,TDU21840G,0,1,0,0,1
2145278,TDU21843G,0,1,0,0,1
2145285,TDU21845G,0,1,0,0,1
2145429,TDU21848G,0,1,0,0,1
2150400,TDU21871G,0,1,0,0,1
2150579,TDU21872G,0,1,0,0,1
2150979,TDU21873G,0,1,0,0,1
2151055,TDU21875G,0,1,0,0,1
2153590,TDU21900G,0,1,0,0,1
2153623,TDU21901G,0,1,0,0,1
2155515,TDU21916G,0,1,0,0,1
2156635,TDU21926G,0,1,0,0,1
2156779,TDU21927G,0,1,0,0,1
2158286,TDU21941G,0,1,0,0,1
2158952,TDU21951G,0,1,0,0,1
2159274,TDU21957G,0,1,0,0,1
2159557,TDU21961G,0,1,0,0,1
2164914,TDU22016G,0,1,0,0,1
2165489,TDU22018G,0,1,0,0,1
2165909,TDU22022G,0,1,0,0,1
2165922,TDU22023G,0,1,0,0,1
2167477,TDU22043G,0,1,0,0,1
2168654,TDU22049G,0,1,0,0,1
2169768,TDU22064G,0,1,0,0,1
2170183,TDU22070G,0,1,0,0,1
2172577,TDU22078G,0,1,0,0,1
2173564,TDU22094G,0,1,0,0,1
2173900,TDU22096G,25,1,0,0,1
2174009,TDU22097G,0,1,0,0,1
2174481,TDU22105G,0,1,0,0,1
2176706,TDU22114G,0,1,0,0,1
2177180,TDU22120G,0,1,0,0,1
2178247,TDU22131G,0,1,0,0,1
2180865,TDU22157G,0,1,0,0,1
2181104,TDU22159G,0,1,0,0,1
2181706,TDU22171G,0,1,0,0,1
2181741,TDU22172G,0,1,0,0,1
2181988,TDU22174G,0,1,0,0,1
2182141,TDU22177G,0,1,0,0,1
2182432,TDU22187G,0,1,0,0,1
2183168,TDU22192G,0,1,0,0,1
2184197,TDU22214G,0,1,0,0,1
2184958,TDU22222G,0,1,0,0,1
2185404,TDU22232G,0,1,0,0,1
2186233,TDU22242G,14,16,0,0,16
2186715,TDU22245G,0,1,0,0,1
2187192,TDU22253G,0,1,0,0,1
2187206,TDU22254G,0,25,0,0,25
2188757,TDU22260G,0,1,0,0,1
2189999,TDU22281G,0,1,0,0,1
2192045,TDU22294G,0,1,0,0,1
2192516,TDU22302G,0,1,0,0,1
2195958,TDU22347G,0,1,0,0,1
2196588,TDU22356G,0,1,0,0,1
2197388,TDU22363G,0,1,0,0,1
2199852,TDU22382G,0,1,0,0,1
2200075,TDU22387G,0,1,0,0,1
2201133,TDU22398G,0,1,0,0,1
2201242,TDU22399G,0,1,0,0,1
2201790,TDU22417G,0,1,0,0,1
2203242,TDU22426G,0,1,0,0,1
2204232,TDU22430G,0,1,0,0,1
2204411,TDU22432G,0,1,0,0,1
2205116,TDU22445G,0,1,0,0,1
2205921,TDU22456G,0,1,0,0,1
2206211,TDU22460G,0,1,0,0,1
2206596,TDU22463G,0,1,0,0,1
2207718,TDU22484G,0,1,0,0,1
2207942,TDU22488G,0,1,0,0,1
2213418,TDU22528G,0,1,0,0,1
2213951,TDU22533G,0,1,0,0,1
2214208,TDU22535G,0,1,0,0,1
2214213,TDU22536G,0,1,0,0,1
2214788,TDU22543G,0,1,0,0,1
2215079,TDU22551G,0,1,0,0,1
2215224,TDU22554G,0,1,0,0,1
2215376,TDU22558G,0,1,0,0,1
2216118,TDU22568G,0,1,0,0,1
2216948,TDU22587G,0,1,0,0,1
2217909,TDU22595G,0,1,0,0,1
2219152,TDU22605G,0,1,0,0,1
2219605,TDU22610G,0,1,0,0,1
2220998,TDU22619G,0,1,0,0,1
2221292,TDU22622G,0,1,0,0,1
2222760,TDU22636G,0,1,0,0,1
2222914,TDU22639G,0,1,0,0,1
2224015,TDU22654G,0,1,0,0,1
2226620,TDU22676G,0,1,0,0,1
2226782,TDU22677G,0,1,0,0,1
2227490,TDU22690G,0,1,0,0,1
2229766,TDU22716G,0,1,0,0,1
2234367,TDU22768G,0,1,0,0,1
2234658,TDU22775G,0,1,0,0,1
2234844,TDU22780G,0,1,0,0,1
2237094,TDU22804G,0,1,0,0,1
2238144,TDU22819G,0,1,0,0,1
2238389,TDU22822G,0,1,0,0,1
2240533,TDU22837G,0,1,0,0,1
2241253,TDU22848G,0,1,0,0,1
2241491,TDU22852G,0,1,0,0,1
2243368,TDU22870G,0,1,0,0,1
2243986,TDU22881G,0,1,0,0,1
2244495,TDU22891G,0,1,0,0,1
2244601,TDU22894G,0,1,0,0,1
2244637,TDU22895G,0,1,0,0,1
2244640,TDU22896G,0,1,0,0,1
2245698,TDU22905G,0,1,0,0,1
2246239,TDU22911G,0,1,0,0,1
2246817,TDU22923G,0,1,0,0,1
2247866,TDU22939G,0,1,0,0,1
2247869,TDU22940G,0,1,0,0,1
2248195,TDU22949G,0,1,0,0,1
2250847,TDU22967G,0,1,0,0,1
2251209,TDU22970G,0,1,0,0,1
2251463,TDU22976G,0,1,0,0,1
2253033,TDU22986G,0,1,0,0,1
2253174,TDU22988G,0,1,0,0,1
2253528,TDU22996G,0,1,0,0,1
2253945,TDU23004G,0,1,0,0,1
2257101,TDU23043G,0,1,0,0,1
2259550,TDU23067G,0,1,0,0,1
2259577,TDU23071G,0,1,0,0,1
2259617,TDU23073G,0,1,0,0,1
2259623,TDU23074G,0,1,0,0,1
2259779,TDU23077G,35,35,1,0,36
2259799,TDU23079G,0,1,0,0,1
2260148,TDU23090G,0,1,0,0,1
2261358,TDU23104G,0,1,0,0,1
2263394,TDU23125G,0,1,0,0,1
2263438,TDU23127G,0,1,0,0,1
2266163,TDU23156G,0,36,0,0,36
2266217,TDU23160G,0,36,0,0,36
2266242,TDU23162G,0,1,0,0,1
2266266,TDU23163G,0,1,0,0,1
2266469,TDU23169G,0,1,0,0,1
2266800,TDU23178G,0,1,0,0,1
2267024,TDU23183G,0,1,0,0,1
2268185,TDU23203G,0,1,0,0,1
2269411,TDU23225G,0,1,0,0,1
2270744,TDU23257G,0,1,0,0,1
2272390,TDU23274G,0,1,0,0,1
2273176,TDU23287G,0,1,0,0,1
2273623,TDU23295G,0,1,0,0,1
2274073,TDU23309G,0,1,0,0,1
2274349,TDU23316G,0,1,0,0,1
2275421,TDU23342G,0,26,0,0,26
2276395,TDU23362G,0,1,0,0,1
2281313,TDU23457G,0,1,0,0,1
2282956,TDU23488G,0,1,0,0,1
2283161,TDU23491G,0,1,0,0,1
2283507,TDU23498G,0,1,0,0,1
2284152,TDU23522G,0,1,0,0,1
2284216,TDU23526G,0,25,0,0,25
2284300,TDU23528G,0,1,0,0,1
2284340,TDU23530G,0,1,0,0,1
2284372,TDU23531G,0,40,0,0,40
2284541,TDU23538G,0,1,0,0,1
2286579,TDU23574G,0,1,0,0,1
2287449,TDU23587G,0,1,0,0,1
2287516,TDU23588G,0,1,0,0,1
2288500,TDU23604G,0,1,0,0,1
2288669,TDU23608G,0,1,0,0,1
2289012,TDU23613G,0,1,0,0,1
2290458,TDU23634G,0,1,0,0,1
2290483,TDU23636G,0,1,0,0,1
2290490,TDU23638G,0,1,0,0,1
2292638,TDU23688G,0,1,0,0,1
2292886,TDU23693G,0,1,0,0,1
2294118,TDU23723G,0,1,0,0,1
2295188,TDU23741G,0,1,0,0,1
2298001,TDU23781G,0,1,0,0,1
2299980,TDU23821G,0,1,0,0,1
2301704,TDU23851G,0,1,0,0,1
2302250,TDU23864G,0,1,0,0,1
2302391,TDU23866G,0,1,0,0,1
2303658,TDU23885G,0,1,0,0,1
2303783,TDU23888G,0,1,0,0,1
2307407,TDU23973G,0,1,0,0,1
2309223,TDU23998G,0,1,0,0,1
2309546,TDU24007G,0,33,0,0,33
2309677,TDU24013G,0,1,0,0,1
2310572,TDU24042G,0,1,0,0,1
2310663,TDU24046G,0,1,0,0,1
2311528,TDU24062G,0,1,0,0,1
2311987,TDU24072G,0,1,0,0,1
2311999,TDU24073G,0,1,0,0,1
2312598,TDU24081G,0,1,0,0,1
2312730,TDU24082G,0,40,0,0,40
2312905,TDU24085G,0,1,0,0,1
2313526,TDU24097G,0,1,0,0,1
2314669,TDU24114G,0,1,0,0,1
2314787,TDU24119G,0,30,0,0,30
2316357,TDU24158G,0,1,0,0,1
2316541,TDU24160G,0,1,0,0,1
2317097,TDU24166G,0,1,0,0,1
2317169,TDU24172G,0,1,0,0,1
2317183,TDU24173G,0,1,0,0,1
2320559,TDU24230G,0,1,0,0,1
2320824,TDU24233G,0,30,0,0,30
2322960,TDU24273G,0,1,0,0,1
2325444,TDU24330G,0,1,0,0,1
2325772,TDU24339G,0,1,0,0,1
2329157,TDU24389G,0,1,0,0,1
2333785,TDU24487G,0,1,0,0,1
2333824,TDU24490G,0,1,0,0,1
2334979,TDU24511G,0,1,0,0,1
2335100,TDU24518G,0,1,0,0,1
2335476,TDU24528G,0,1,0,0,1
2335768,TDU24537G,0,1,0,0,1
2338083,TDU24576G,0,1,0,0,1
2338366,TDU24584G,0,1,0,0,1
2347055,TDU24718G,0,20,0,0,20
2347056,TDU24719G,15,1,0,0,1
2347059,TDU24722G,0,1,0,0,1
2347060,TDU24723G,0,19,0,0,19
2347061,TDU24724G,0,1,0,0,1
2347062,TDU24725G,0,1,0,0,1
2347068,TDU24729G,40,1,0,0,1
2347069,TDU24730G,15,1,0,0,1
2347070,TDU24731G,40,44,0,0,44
2347071,TDU24732G,10,1,0,0,1
2347075,TDU24733G,15,1,0,0,1
2347077,TDU24734G,15,1,0,0,1
2347078,TDU24735G,15,1,0,0,1
2347081,TDU24736G,30,1,0,0,1
2347083,TDU24737G,20,1,0,0,1
2347085,TDU24738G,0,1,0,0,1
2347086,TDU24739G,20,1,0,0,1
2347088,TDU24740G,0,1,0,0,1
2347090,TDU24741G,20,1,0,0,1
2347091,TDU24742G,40,1,0,0,1
2347092,TDU24743G,40,1,0,0,1
2347093,TDU24744G,40,1,0,0,1
2347094,TDU24745G,40,1,0,0,1
2347095,TDU24746G,40,1,0,0,1
2347096,TDU24747G,50,1,0,0,1
2347097,TDU24748G,0,1,0,0,1
2347103,TDU24750G,54,1,0,0,1
2347105,TDU24751G,54,1,0,0,1
2347107,TDU24752G,54,1,0,0,1
2347109,TDU24753G,54,1,0,0,1
2347110,TDU24754G,54,1,0,0,1
2347112,TDU24755G,20,1,0,0,1
2347114,TDU24756G,0,1,0,0,1
2347118,TDU24758G,25,23,0,0,23
2347123,TDU24761G,20,1,0,0,1
2347125,TDU24762G,0,1,0,0,1
2347126,TDU24763G,20,1,0,0,1
2347128,TDU24764G,40,1,0,0,1
2347130,TDU24765G,0,43,0,0,43
2347131,TDU24766G,20,1,0,0,1
2347135,TDU24768G,24,1,0,0,1
2347136,TDU24769G,24,1,0,0,1
2347137,TDU24770G,24,1,0,0,1
2347139,TDU24771G,24,1,0,0,1
2347141,TDU24772G,0,1,0,0,1
2347144,TDU24775G,20,1,0,0,1
2347146,TDU24776G,0,1,0,0,1
2347149,TDU24778G,32,1,0,0,1
2347150,TDU24779G,17,1,0,0,1
2347155,TDU24781G,25,1,0,0,1
2347156,TDU24782G,0,26,0,0,26
2347157,TDU24783G,13,12,2,0,14
2347159,TDU24785G,24,1,0,0,1
2347161,TDU24786G,20,1,0,0,1
2347165,TDU24788G,42,1,0,0,1
2347168,TDU24790G,30,1,0,0,1
2347170,TDU24792G,15,1,0,0,1
2347172,TDU24793G,22,1,0,0,1
2347174,TDU24794G,30,1,0,0,1
2347182,TDU24796G,255,1,0,0,1
2347183,TDU24797G,25,1,0,0,1
2347185,TDU24798G,30,1,0,0,1
2347187,TDU24799G,22,40,0,0,40
2347188,TDU24800G,12,1,0,0,1
2347189,TDU24801G,38,39,0,0,39
2347191,TDU24802G,0,1,0,0,1
2347193,TDU24803G,17,1,0,0,1
2347194,TDU24804G,49,1,0,0,1
2347196,TDU24805G,55,1,0,0,1
2347199,TDU24808G,20,1,0,0,1
2347200,TDU24809G,17,1,0,0,1
2347201,TDU24810G,17,1,0,0,1
2347202,TDU24811G,0,19,0,0,19
2347203,TDU24812G,80,1,0,0,1
2347204,TDU24813G,16,1,0,0,1
2347207,TDU24814G,25,1,0,0,1
2347208,TDU24815G,30,40,0,0,40
2347213,TDU24816G,16,1,0,0,1
2347215,TDU24818G,20,1,0,0,1
2347217,TDU24819G,25,1,0,0,1
2347218,TDU24820G,30,1,0,0,1
2347222,TDU24821G,20,1,0,0,1
2347224,TDU24822G,20,1,0,0,1
2347226,TDU24823G,33,1,0,0,1
2347232,TDU24825G,0,1,0,0,1
2347240,TDU24827G,25,1,0,0,1
2347244,TDU24829G,29,1,0,0,1
2347245,TDU24830G,15,1,0,0,1
2347246,TDU24831G,15,1,0,0,1
2347249,TDU24832G,13,1,0,0,1
2347250,TDU24833G,16,15,0,0,15
2347251,TDU24834G,15,10,0,0,10
2347253,TDU24836G,24,1,0,0,1
2347260,TDU24838G,30,1,0,0,1
2347265,TDU24841G,44,45,0,0,45
2347267,TDU24842G,20,1,0,0,1
2347269,TDU24843G,21,1,0,0,1
2347270,TDU24844G,20,1,0,0,1
2347273,TDU24846G,20,1,0,0,1
2347275,TDU24847G,20,1,0,0,1
2347278,TDU24848G,20,1,0,0,1
2347279,TDU24849G,30,1,0,0,1
2347283,TDU24850G,25,1,0,0,1
2347292,TDU24855G,34,35,0,0,35
2347293,TDU24856G,34,35,0,0,35
2347296,TDU24858G,70,1,0,0,1
2347304,TDU24862G,45,1,0,0,1
2347309,TDU24865G,26,1,0,0,1
2347310,TDU24866G,30,1,0,0,1
2347311,TDU24867G,25,1,0,0,1
2347312,TDU24868G,26,1,0,0,1
2347313,TDU24869G,26,1,0,0,1
2347315,TDU24871G,25,20,0,0,20
2347316,TDU24872G,0,1,0,0,1
2347319,TDU24873G,25,20,0,0,20
2347321,TDU24875G,26,1,0,0,1
2347324,TDU24877G,80,1,0,0,1
2347329,TDU24880G,15,1,0,0,1
2347333,TDU24883G,15,20,0,0,20
2347335,TDU24885G,25,20,0,0,20
2347336,TDU24886G,30,20,0,0,20
2347337,TDU24887G,18,1,0,0,1
2347338,TDU24888G,0,1,0,0,1
2347341,TDU24890G,15,1,0,0,1
2347348,TDU24895G,15,1,0,0,1
2347349,TDU24896G,20,1,0,0,1
2347351,TDU24897G,15,1,0,0,1
2347352,TDU24898G,200,40,0,0,40
2347354,TDU24899G,15,1,0,0,1
2347356,TDU24900G,20,1,0,0,1
2347358,TDU24901G,20,1,0,0,1
2347360,TDU24902G,0,1,0,0,1
2347364,TDU24905G,0,40,0,0,40
2347367,TDU24907G,40,1,0,0,1
2347370,TDU24908G,14,1,0,0,1
2347372,TDU24909G,20,1,0,0,1
2347374,TDU24910G,15,1,0,0,1
2347378,TDU24912G,43,44,0,0,44
2347379,TDU24913G,24,25,0,0,25
2347383,TDU24916G,0,1,0,0,1
2347384,TDU24917G,16,1,0,0,1
2347387,TDU24919G,35,1,0,0,1
2347392,TDU24922G,0,1,0,0,1
2347394,TDU24923G,40,1,0,0,1
2347404,TDU24927G,230,250,0,0,250
2347406,TDU24928G,20,1,0,0,1
2347407,TDU24929G,25,1,0,0,1
2347409,TDU24930G,25,1,0,0,1
2347417,TDU24933G,0,1,0,0,1
2347422,TDU24936G,230,1,0,0,1
2347424,TDU24938G,301,1,0,0,1
2347425,TDU24939G,13,1,0,0,1
2347430,TDU24942G,280,1,0,0,1
2347434,TDU24944G,40,1,0,0,1
2347436,TDU24945G,0,1,0,0,1
2347441,TDU24948G,0,1,0,0,1
2347446,TDU24950G,0,150,0,0,150
2347447,TDU24951G,45,1,0,0,1
2347449,TDU24952G,0,1,0,0,1
2347453,TDU24956G,0,1,0,0,1
2347455,TDU24958G,0,240,0,0,240
2347456,TDU24959G,14,1,0,0,1
2347457,TDU24960G,0,1,0,0,1
2347459,TDU24961G,0,1,0,0,1
2347462,TDU24963G,30,1,0,0,1
2347468,TDU24966G,15,1,0,0,1
2347469,TDU24967G,45,40,0,0,40
2347474,TDU24969G,45,150,0,0,150
2347477,TDU24970G,49,1,0,0,1
2347525,TDU25002G,27,27,1,0,28
2347536,TDU25011G,1,25,0,0,25
2347606,TDU25042G,10,14,0,0,14
2347643,TDU25055G,40,38,0,0,38
2347649,TDU25057G,35,23,0,0,23
2347685,TDU25073G,13,13,3,0,16
2347723,TDU25089G,166,140,11,1,152
2347763,TDU25107G,15,15,4,0,19
2347788,TDU25116G,2,2,2,0,4
2347846,TDU25144G,155,155,16,0,171
2348051,TDU25186G,32,16,0,0,16
2348061,TDU30142,3,2,2,0,4
2348202,TDU25200G,8,8,4,0,12
2348225,TDU25204G,14,14,3,0,17
2348227,TDU30266,5,4,2,0,6
2348228,TDU30267,6,4,4,0,8
2348248,TDU30277,2,2,1,0,3
2348254,TDU25209G,14,14,3,0,17
2348283,TDU25214G,32,28,0,0,28
2348298,TDU30307,3,2,0,0,2
2348314,TDU30315,3,2,2,0,4
2348320,TDU30320,3,6,1,0,7
2348328,TDU25226G,15,20,0,0,20
2348331,TDU25227G,30,31,0,0,31
2348335,TDU30325,6,6,1,0,7
2348345,TDU30334,5,5,1,0,6
2348347,TDU30336,5,4,2,0,6
2348357,TDU25235G,26,22,0,0,22
2348363,TDU30343,4,4,1,0,5
2348375,TDU30352,3,3,1,0,4
2348382,TDU30356,6,6,1,0,7
2348399,TDU30368,5,5,1,0,6
2348440,TDU30391,4,4,0,1,5
2348455,TDU30405,6,6,3,0,9
2348458,TDU30408,9,9,2,0,11
2348459,TDU30409,3,3,1,0,4
2348466,TDU30414,5,5,2,0,7
2348482,TDU30427,2,2,1,0,3
2348484,TDU30428,7,4,0,0,4
2348494,TDU25252G,16,20,0,0,20
2348508,TDU30435,2,2,1,0,3
2348510,TDU30437,6,6,1,0,7
2348519,TDU30444,8,8,1,0,9
2348520,TDU30445,13,13,1,0,14
2348524,TDU30446,9,8,3,0,11
2348538,TDU30453,2,2,1,0,3
2348539,TDU30454,4,4,1,0,5
2348543,TDU30456,3,3,1,0,4
2348551,TDU30464,2,2,1,0,3
2348557,TDU30469,5,5,1,0,6
2348579,TDU25265G,41,40,2,1,43
2348593,TDU30478,6,6,1,0,7
2348599,TDU25269G,40,40,5,0,45
2348612,TDU30485,3,3,1,0,4
2349340,TDU25279G,14,51,0,0,51
2349356,TDU25284G,70,65,0,0,65
2349361,TDU30517,4,4,2,0,6
2349365,TDU30520,2,2,1,0,3
2349367,TDU30522,2,2,1,0,3
2349375,TDU30529,4,4,3,0,7
2349379,TDU30533,2,2,0,1,3
2349380,TDU30534,5,5,1,0,6
2349410,TDU30558,2,2,1,0,3
2349429,TDU30573,3,2,2,0,4
2349440,TDU30574,2,2,1,0,3
2349453,TDU30581,3,2,2,0,4
2349457,TDU30584,3,3,1,0,4
2349461,TDU30585,3,2,2,0,4
2349468,TDU30591,3,3,1,0,4
2349475,TDU30597,5,5,2,0,7
2349495,TDU30606,2,2,1,0,3
2349502,TDU30610,2,2,1,0,3
2349513,TDU25337G,26,26,4,0,30
2349522,TDU25339G,26,25,0,0,25
2349529,TDU30631,2,2,0,1,3
2349532,TDU30633,2,2,1,0,3
2349547,TDU30642,4,4,2,0,6
2349549,TDU30644,4,4,2,0,6
2349571,TDU30655,4,3,0,0,3
2349591,TDU30666,8,8,3,0,11
2349592,TDU30667,4,4,1,0,5
2349593,TDU30668,3,3,1,0,4
2349594,TDU30669,3,2,2,0,4
2349605,TDU30673,6,6,5,0,11
2349628,TDU30680,6,6,2,0,8
2349633,TDU30682,10,9,2,1,12
2349682,TDU30707,2,2,1,0,3
2349688,TDU30712,2,2,1,0,3
2349713,TDU30721,5,5,2,0,7
2349720,TDU30725,4,5,0,0,5
2349721,TDU30726,5,5,2,0,7
2349727,TDU30732,3,3,1,0,4
2349729,TDU30733,2,2,0,1,3
2349736,TDU30739,3,2,2,0,4
2349748,TDU30748,2,2,1,0,3
2349757,TDU30754,4,4,1,0,5
2349771,TDU30763,3,3,0,1,4
2349776,TDU30766,3,2,2,0,4
2349796,TDU30776,2,2,1,0,3
2349803,TDU25466G,12,12,3,0,15
2349804,TDU30780,3,3,1,0,4
2349807,TDU30782,3,3,1,0,4
2349810,TDU30784,4,4,1,0,5
2349821,TDU30793,2,2,1,0,3
2349825,TDU30797,7,7,1,0,8
2349828,TDU25473G,12,12,0,1,13
2349835,TDU30799,5,7,4,1,12
2349839,TDU30802,2,2,1,0,3
2349848,TDU30808,6,2,0,0,2
2349851,TDU25485G,25,20,0,0,20
2349867,TDU30820,4,4,1,0,5
2349868,TDU30821,12,7,5,1,13
2349888,TDU30834,2,4,0,0,4
2349889,TDU30835,9,6,4,0,10
2349903,TDU30844,2,2,0,1,3
2349905,TDU30846,3,3,0,1,4
2349916,TDU30855,3,3,1,0,4
2349932,TDU30866,3,3,1,0,4
2349934,TDU30868,3,3,1,0,4
2349941,TDU30871,2,2,0,1,3
2349952,TDU30880,3,2,2,0,4
2349953,TDU30881,3,3,1,0,4
2349957,TDU30884,2,2,1,0,3
2349963,TDU30889,2,2,0,1,3
2349969,TDU30895,6,6,2,0,8
2349981,TDU30904,11,11,3,0,14
2349983,TDU30906,4,4,2,0,6
2349986,TDU30909,4,4,0,1,5
2349991,TDU30913,3,3,1,0,4
2349993,TDU30915,11,11,3,0,14
2350000,TDU30919,2,2,1,0,3
2350001,TDU25524G,16,16,1,0,17
2350002,TDU30920,2,2,1,0,3
2350020,TDU30937,4,3,2,0,5
2350029,TDU30945,4,4,1,0,5
2350030,TDU30946,2,2,1,0,3
2350032,TDU30948,3,2,2,0,4
2350033,TDU30949,3,2,2,0,4
2350035,TDU30951,8,8,3,0,11
2350042,TDU30958,2,2,2,0,4
2350049,TDU30964,5,4,2,2,8
2350051,TDU25528G,33,29,4,1,34
2350095,TDU31002,7,7,3,0,10
2350096,TDU31003,2,2,2,0,4
2350099,TDU31006,6,6,1,0,7
2350101,TDU31008,1,1,0,1,2
2350102,TDU31009,7,7,2,0,9
2350112,TDU31018,6,2,2,0,4
2350122,TDU31023,2,2,3,0,5
2350128,TDU31028,3,3,1,0,4
2350133,TDU31032,6,4,4,0,8
2350137,TDU31034,10,4,0,0,4
2350139,TDU31036,7,7,1,0,8
2350148,TDU31043,12,12,7,0,19
2350150,TDU31045,3,3,1,0,4
2350152,TDU31047,5,5,1,0,6
2350153,TDU31048,10,10,2,0,12
2350154,TDU31049,3,3,1,0,4
2350156,TDU31051,2,2,1,0,3
2350162,TDU25549G,15,15,2,0,17
2350168,TDU31060,9,9,2,0,11
2350169,TDU25551G,24,18,2,0,20
2350170,TDU31061,3,3,1,0,4
2350173,TDU31063,5,4,2,0,6
