quoteid,user_name,stage,created_at,copies
2350564,Rachana,Dinner at Indian Restaurant Price change: Child Price: $0.00 -> $35.00,2025-06-13 18:22:56,2
2350564,Rachana,Dinner at Indian Restaurant Price change: Child Price: $35.00 -> $0.00,2025-06-13 18:14:43,3
2350573,Karthik,Add Product: Full Day Guide,2025-04-29 15:46:15,2
2350576,Priyanka,"Coach for 12 hrs  Price change: Sale Price: $2,300.00 -> $2,000.00",2025-04-22 14:18:29,3
2350576,Priyanka,"Coach for 12 hrs Price change: Sale Price: $2,300.00 -> $2,000.00",2025-04-22 14:18:29,2
2350576,Priyanka,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $40.00,2025-04-22 13:59:22,3
2350596,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $45.00, Child Price: $35.00 -> $45.00",2025-05-05 18:34:59,2
2350596,RakeshM,"Dinner at Indian Restaurant Price change: Sale Price: $45.00 -> $50.00, Child Price: $45.00 -> $50.00",2025-05-05 18:35:00,2
2350598,maharshi,Add Product: Asian/Western/Chinese 2 course dinner,2025-04-24 09:35:11,4
2350598,maharshi,Add Product: Asian/Western/Chinese 2 course dinner,2025-05-06 10:47:59,3
2350598,maharshi,Add Product: Asian/Western/Chinese 2 course lunch,2025-04-24 09:35:11,2
2350598,maharshi,Add Product: Asian/Western/Chinese 2 course lunch,2025-05-06 10:47:59,2
2350598,maharshi,"Asian/Western/Chinese 2 course dinner Price change: Sale Price: $55.00 -> $65.00, Child Price: $55.00 -> $65.00",2025-05-12 00:44:07,4
2350598,maharshi,"Asian/Western/Chinese 2 course lunch Price change: Sale Price: $45.00 -> $55.00, Child Price: $45.00 -> $55.00",2025-05-12 00:44:07,3
2350611,maharshi,"Dinner at Indian Restaurant Price change: Sale Price: $35.00 -> $45.00, Child Price: $35.00 -> $45.00",2025-04-24 12:53:21,3
2350611,maharshi,Dinner at Indian Restaurant Price change: Sale Price: $45.00 -> $35.00,2025-04-24 13:36:10,2
2350611,maharshi,"Dinner at Indian Restaurant Price change: Sale Price: $80.00 -> $35.00, Child Price: $80.00 -> $0.00",2025-04-24 12:37:18,2
2350621,Priyanka,Melbourne Airport to Hotel Transfer(53-57) Price change: Sale Price: $0.00 -> $462.00,2025-04-24 22:26:21,2
2350627,Dhiraj,Add Product: Coach for 10 Hrs ,2025-04-25 16:03:14,2
2350627,Dhiraj,Add Product: Coach for 10 Hrs ,2025-04-25 16:49:36,2
2350627,Dhiraj,Add Product: Lunch at Indian restaurant ,2025-04-25 16:15:39,2
2350627,Dhiraj,Add Product: Lunch at Indian restaurant ,2025-04-25 16:49:36,2
2350627,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-04-25 16:08:07,2
2350627,Dhiraj,Dinner at Indian restaurant Price change: Child Price: $0.00 -> $45.00,2025-04-25 18:36:18,2
2350693,Priyanka,"Coach for 10 hours for Blue Mountains(25 Pax) Price change: Sale Price: $1,122.50 -> $1,345.50",2025-04-30 20:51:46,2
2350693,Priyanka,Coach for 8 hours (27 Pax) Price change: Sale Price: $0.00 -> $720.00,2025-04-30 20:25:52,2
2350693,Priyanka,Coach for Cairns Hotel to Airport(20 Pax) Price change: Sale Price: $190.00 -> $260.00,2025-04-30 20:36:31,2
2350693,RakeshM,"Airport to Hotel with Kuranda - coach for 08 hrs Price change: Sale Price: $1,271.00 -> $1,191.00",2025-05-28 18:07:04,2
2350693,RakeshM,"Coach for 12 hours for Blue Mountains(40 Pax) Price change: Sale Price: $1,730.00 -> $1,342.00",2025-05-28 18:18:52,2
2350702,Dhiraj,"Auckland Airport to Auckland Hotel  Price change: Sale Price: $0.00 -> $2,000.00",2025-05-01 22:25:06,3
